label,unit-type,position,period,phase,url
1297+,deposit,other,2,,
1306,deposit,other,2,,
1306.X1,deposit,other,2,,
1320,deposit,other,2,,
1323,deposit,other,2,,
1325,deposit,other,2,,
1340,deposit,other,2,,
1347.X1+F.39-46,deposit,other,2,,
1351+,deposit,other,2,,
1383+,deposit,other,2,,
1396+,deposit,other,2,,
1397,deposit,other,2,,
2519,deposit,other,2,,
2524,deposit,other,2,,
2525,deposit,other,2,,
2531,deposit,other,2,,
2537,deposit,other,2,,
2538,deposit,other,2,,
2541,deposit,other,2,,
2549,deposit,other,2,,
2557,deposit,other,2,,
2559,deposit,other,2,,
3016+,deposit,other,2,,
3021,deposit,other,2,,
3022,deposit,other,2,,
3026,deposit,other,2,,
3028,deposit,other,2,,
3029+,deposit,other,2,,
3030+,deposit,other,2,,
3032,deposit,other,2,,
3033,deposit,other,2,,
3038+,deposit,other,2,,
3039,deposit,other,2,,
3045,deposit,other,2,,
3051+,deposit,other,2,,
3053,deposit,other,2,,
3054,deposit,other,2,,
3055,deposit,other,2,,
3056,deposit,other,2,,
3058+,deposit,other,2,,
3082+,deposit,other,2,,
3084,deposit,other,2,,
3085,deposit,other,2,,
3086,deposit,other,2,,
3088+,deposit,other,2,,
3090+,deposit,other,2,,
3099+,deposit,other,2,,
3201+,deposit,other,2,,
3204+,deposit,other,2,,
3206,interface,other,2,,
F.224,deposit,other,2,,
F.534,deposit,other,2,,
1100+,deposit,surface,1,,
1101,deposit,other,1,,
1102+,deposit,other,1,,
1103,deposit,other,1,,
1106b+,deposit,other,1,,
1107+,deposit,other,1,,
1109+,deposit,other,1,,
1111,deposit,other,1,,
1113+,deposit,other,1,,
1114+,deposit,other,1,,
1115+,deposit,other,1,,
1117+,deposit,other,1,,
1118+,deposit,other,1,,
1119+,deposit,other,1,,
1121+,deposit,other,1,,
1122+,deposit,other,1,,
1128a+,deposit,other,1,,
1131,interface,other,1,,
1132+,deposit,other,1,,
1133,deposit,other,1,,
1134+,deposit,other,1,,
1135,deposit,other,1,,
1138,deposit,other,1,,
1139+,deposit,other,1,,
1140,deposit,other,1,,
1141a+,deposit,other,1,,
1141b,deposit,other,1,,
1143,deposit,other,1,,
1145a+,deposit,other,1,,
1145b,deposit,other,1,,
1148+,deposit,other,1,,
1151,deposit,other,1,,
1152a+,deposit,other,1,,
1152b,deposit,other,1,,
1154,deposit,other,1,,
1155,deposit,other,1,,
1156,deposit,other,1,,
1156.X2+,deposit,other,1,,
1161a+,deposit,other,1,,
1161b,deposit,other,1,,
1164+,deposit,other,1,,
1167,deposit,other,1,,
1169,deposit,other,1,,
1173,deposit,other,1,,
1175,deposit,other,1,,
1179,deposit,other,1,,
1181+,deposit,other,1,,
1183,deposit,other,1,,
1184+,deposit,other,1,,
1185+,deposit,other,1,,
1186,deposit,other,1,,
1186.X2-X4+,deposit,other,1,,
1187,deposit,other,1,,
1188+,deposit,other,1,,
1195a+,deposit,other,1,,
1195b+,deposit,other,1,,
1196+,deposit,other,1,,
1198,deposit,other,1,,
1199+,deposit,other,1,,
1200+,deposit,other,1,,
1201,deposit,other,1,,
1214+,deposit,other,1,,
1214.X1+X2,deposit,other,1,,
1221+,deposit,other,1,,
1222,deposit,other,1,,
1222.X1+X2+,deposit,other,1,,
1223,deposit,other,1,,
1224+,deposit,other,1,,
1225+,deposit,other,1,,
1226,deposit,other,1,,
1227+,deposit,other,1,,
1232a+,deposit,other,1,,
1232b+,deposit,other,1,,
1233+,deposit,other,1,,
1235b,deposit,other,1,,
1240+,deposit,other,1,,
1242+,deposit,other,1,,
1243,deposit,other,1,,
1244+,deposit,other,1,,
1245,deposit,other,1,,
1248,deposit,other,1,,
1251,deposit,other,1,,
1253,deposit,other,1,,
1255,deposit,other,1,,
1256,deposit,other,1,,
1257+,deposit,other,1,,
1261,deposit,other,1,,
1264.X1,deposit,other,1,,
1268,deposit,other,1,,
1269,deposit,other,1,,
1270,deposit,other,1,,
1273,deposit,other,1,,
1276,deposit,other,1,,
1278,deposit,other,1,,
1283,deposit,other,1,,
